,m-type,e-type,me-type,molecularID
313862167,Aspiny_1,Inh_13,ME_Inh_15,L4_Sst
313862373,Aspiny_4,Inh_2,ME_Inh_7,L6a_Pvalb
321708130,Aspiny_4,Inh_11,ME_Inh_6,L5_Pvalb
323452196,Aspiny_10,Inh_10,ME_Inh_11,L6a_Pvalb
323475862,Aspiny_9,Inh_5,ME_Inh_26,L5_Sst
324266189,Aspiny_1,Inh_6,ME_Inh_25,L2/3_Sst
324493977,Aspiny_1,Inh_6,ME_Inh_15,L2/3_Sst
327962063,Aspiny_13,Inh_3,ME_Inh_2,L2/3_Vip
333604946,Aspiny_8,Inh_13,ME_Inh_12,L2/3_Pvalb
333785962,Aspiny_9,Inh_2,ME_Inh_13,L5_Pvalb
341442651,Aspiny_7,Inh_12,ME_Inh_10,L2/3_Pvalb
396608557,Aspiny_10,Inh_8,ME_Inh_9,L5_Pvalb
466245544,Aspiny_19,Inh_8,ME_Inh_9,L6a_Pvalb
471077468,Aspiny_9,Inh_13,ME_Inh_12,L4_Pvalb
471077857,Aspiny_9,Inh_9,ME_Inh_13,L5_Pvalb
471087830,Aspiny_3,Inh_8,ME_Inh_9,L6a_Pvalb
473540161,Aspiny_1,Inh_6,ME_Inh_25,L2/3_Sst
473543792,Aspiny_11,Inh_6,ME_Inh_25,L5_Sst
473564515,Aspiny_12,Inh_6,ME_Inh_24,L6a_Sst
473943881,Aspiny_8,Inh_1,ME_Inh_20,L2/3_Lamp5
474626527,Aspiny_10,Inh_3,ME_Inh_1,L4_Vip
475057898,Aspiny_2,Inh_6,ME_Inh_24,L5_Sst
475068599,Aspiny_7,Inh_6,ME_Inh_15,L2/3_Sst
475202388,Aspiny_4,Inh_4,ME_Inh_23,L5_Sst
475549284,Aspiny_12,Inh_13,ME_Inh_11,L5_Pvalb
475585413,Aspiny_18,Inh_3,ME_Inh_18,L1_Lamp5
476686112,Aspiny_1,Inh_6,ME_Inh_25,L2/3_Sst
477880128,Aspiny_13,Inh_7,ME_Inh_2,L2/3_Vip
478058328,Aspiny_4,Inh_13,ME_Inh_12,L6a_Pvalb
478110866,Aspiny_16,Inh_3,ME_Inh_3,L5_Vip
479905853,Aspiny_2,Inh_3,ME_Inh_24,L5_Sst
481093525,Aspiny_11,Inh_12,ME_Inh_9,L5_Pvalb
481136138,Aspiny_10,Inh_12,ME_Inh_10,L5_Pvalb
482516713,Aspiny_11,Inh_12,ME_Inh_10,L5_Pvalb
485184849,Aspiny_8,Inh_12,ME_Inh_10,L2/3_Pvalb
486896849,Aspiny_1,Inh_12,ME_Inh_10,L4_Pvalb
487099387,Aspiny_16,Inh_3,ME_Inh_1,L2/3_Vip
488501071,Aspiny_9,Inh_12,ME_Inh_12,L2/3_Pvalb
488504814,Aspiny_11,Inh_12,ME_Inh_9,L6a_Pvalb
488677994,Aspiny_1,Inh_13,ME_Inh_15,L2/3_Sst
490382353,Aspiny_4,Inh_8,ME_Inh_6,L6a_Pvalb
490387590,Aspiny_10,Inh_12,ME_Inh_10,L5_Pvalb
509515969,Aspiny_8,Inh_12,ME_Inh_12,L2/3_Pvalb
509617624,Aspiny_10,Inh_8,ME_Inh_9,L5_Pvalb
510715606,Aspiny_9,Inh_11,ME_Inh_13,L4_Pvalb
514767977,Aspiny_13,Inh_3,ME_Inh_2,L2/3_Vip
514824979,Aspiny_16,Inh_3,ME_Inh_3,L5_Vip
516362762,Aspiny_3,Inh_4,ME_Inh_22,L6a_Sst
517345160,Aspiny_3,Inh_4,ME_Inh_22,L5_Sst
519749342,Aspiny_10,Inh_6,ME_Inh_22,L5_Sst
523748610,Aspiny_18,Inh_1,ME_Inh_17,L1_Lamp5
524689239,Aspiny_14,Inh_3,ME_Inh_3,L2/3_Vip
526531616,Aspiny_18,Inh_1,ME_Inh_17,L1_Lamp5
527095729,Aspiny_18,Inh_3,ME_Inh_18,L1_Lamp5
527869035,Aspiny_18,Inh_1,ME_Inh_17,L1_Lamp5
530731648,Aspiny_4,Inh_4,ME_Inh_23,L6a_Sst
530737765,Aspiny_3,Inh_4,ME_Inh_23,L5_Sst
534141324,Aspiny_12,Inh_7,ME_Inh_24,L6a_Sst
534303031,Aspiny_2,Inh_5,ME_Inh_24,L5_Sst
535708196,Aspiny_16,Inh_2,ME_Inh_3,L2/3_Vip
535728342,Aspiny_16,Inh_3,ME_Inh_3,L4_Vip
536306115,Aspiny_7,Inh_1,ME_Inh_17,L2/3_Lamp5
536951541,Aspiny_18,Inh_1,ME_Inh_17,L1_Lamp5
539014038,Aspiny_8,Inh_1,ME_Inh_20,L2/3_Lamp5
547262585,Aspiny_4,Inh_4,ME_Inh_23,L5_Sst
547325858,Aspiny_8,Inh_4,ME_Inh_23,L6a_Sst
547344442,Aspiny_12,Inh_4,ME_Inh_23,L5_Sst
554779051,Aspiny_8,Inh_13,ME_Inh_14,L4_Pvalb
554807924,Aspiny_7,Inh_13,ME_Inh_16,L2/3_Pvalb
555001065,Aspiny_2,Inh_6,ME_Inh_24,L5_Sst
555019563,Aspiny_17,Inh_1,ME_Inh_20,L5_Lamp5
555089724,Aspiny_18,Inh_1,ME_Inh_17,L1_Lamp5
555241040,Aspiny_4,Inh_2,ME_Inh_7,L6a_Pvalb
555341581,Aspiny_18,Inh_1,ME_Inh_17,L1_Lamp5
555345752,Aspiny_8,Inh_1,ME_Inh_20,L2/3_Lamp5
555697303,Aspiny_18,Inh_3,ME_Inh_18,L1_Lamp5
556923554,Aspiny_11,Inh_7,ME_Inh_24,L5_Sst
556968207,Aspiny_16,Inh_3,ME_Inh_3,L4_Vip
557261437,Aspiny_14,Inh_3,ME_Inh_3,L2/3_Vip
560753350,Aspiny_8,Inh_4,ME_Inh_23,L2/3_Sst
560965993,Aspiny_8,Inh_1,ME_Inh_20,L4_Lamp5
560992553,Aspiny_4,Inh_1,ME_Inh_19,L6a_Lamp5
561325425,Aspiny_6,Inh_8,ME_Inh_21,L2/3_Pvalb
561517025,Aspiny_7,Inh_13,ME_Inh_16,L2/3_Pvalb
561532710,Aspiny_16,Inh_2,ME_Inh_3,L5_Vip
561934585,Aspiny_17,Inh_2,ME_Inh_3,L4_Vip
561985849,Aspiny_19,Inh_1,ME_Inh_19,L6a_Lamp5
562003142,Aspiny_15,Inh_2,ME_Inh_5,L4_Vip
562632795,Aspiny_18,Inh_1,ME_Inh_17,L1_Lamp5
564346637,Aspiny_12,Inh_8,ME_Inh_9,L5_Pvalb
564349611,Aspiny_18,Inh_1,ME_Inh_17,L1_Lamp5
565120091,Aspiny_1,Inh_6,ME_Inh_25,L4_Sst
565209132,Aspiny_13,Inh_2,ME_Inh_3,L4_Vip
565407476,Aspiny_13,Inh_3,ME_Inh_3,L2/3_Vip
565415071,Aspiny_1,Inh_13,ME_Inh_15,L4_Sst
565417112,Aspiny_8,Inh_1,ME_Inh_20,L4_Lamp5
565459685,Aspiny_8,Inh_7,ME_Inh_25,L5_Sst
565462089,Aspiny_8,Inh_10,ME_Inh_14,L4_Pvalb
565855793,Aspiny_9,Inh_7,ME_Inh_26,L4_Sst
565866518,Aspiny_7,Inh_13,ME_Inh_16,L2/3_Pvalb
565880475,Aspiny_4,Inh_3,ME_Inh_3,L6a_Vip
565888394,Aspiny_2,Inh_5,ME_Inh_24,L4_Sst
566541912,Aspiny_19,Inh_1,ME_Inh_19,L6b_Lamp5
566647353,Aspiny_17,Inh_3,ME_Inh_20,L2/3_Lamp5
566671538,Aspiny_13,Inh_7,ME_Inh_2,L2/3_Vip
566678900,Aspiny_7,Inh_10,ME_Inh_14,L2/3_Pvalb
566761793,Aspiny_2,Inh_6,ME_Inh_24,L5_Sst
567007144,Aspiny_16,Inh_3,ME_Inh_1,L2/3_Vip
567312865,Aspiny_12,Inh_6,ME_Inh_25,L5_Sst
567320213,Aspiny_2,Inh_5,ME_Inh_24,L5_Sst
567354967,Aspiny_2,Inh_6,ME_Inh_24,L5_Sst
567927838,Aspiny_7,Inh_13,ME_Inh_16,L2/3_Pvalb
567952169,Aspiny_8,Inh_12,ME_Inh_16,L2/3_Pvalb
569072334,Aspiny_6,Inh_11,ME_Inh_21,L2/3_Pvalb
569494755,Aspiny_11,Inh_7,ME_Inh_24,L5_Sst
569670455,Aspiny_2,Inh_5,ME_Inh_24,L5_Sst
569723367,Aspiny_8,Inh_9,ME_Inh_8,L4_Pvalb
569723405,Aspiny_12,Inh_8,ME_Inh_9,L6a_Pvalb
569809287,Aspiny_16,Inh_3,ME_Inh_3,L4_Vip
569810649,Aspiny_5,Inh_3,ME_Inh_1,L2/3_Vip
569958754,Aspiny_11,Inh_5,ME_Inh_24,L5_Sst
569965244,Aspiny_12,Inh_6,ME_Inh_25,L5_Sst
569998790,Aspiny_4,Inh_8,ME_Inh_9,L5_Pvalb
570438732,Aspiny_14,Inh_2,ME_Inh_4,L2/3_Vip
570896413,Aspiny_13,Inh_2,ME_Inh_2,L2/3_Vip
570896453,Aspiny_3,Inh_2,ME_Inh_26,L6a_Sst
570946690,Aspiny_4,Inh_11,ME_Inh_6,L6a_Pvalb
571311039,Aspiny_4,Inh_8,ME_Inh_6,L6a_Pvalb
571379222,Aspiny_8,Inh_13,ME_Inh_16,L2/3_Pvalb
571396942,Aspiny_12,Inh_13,ME_Inh_11,L6a_Pvalb
571867358,Aspiny_7,Inh_10,ME_Inh_14,L2/3_Pvalb
572609108,Aspiny_8,Inh_8,ME_Inh_8,L5_Pvalb
573404307,Aspiny_12,Inh_8,ME_Inh_9,L6a_Pvalb
573622646,Aspiny_1,Inh_6,ME_Inh_25,L4_Sst
574036994,Aspiny_3,Inh_4,ME_Inh_22,L6a_Sst
574038330,Aspiny_4,Inh_4,ME_Inh_23,L6a_Sst
574059157,Aspiny_5,Inh_13,ME_Inh_21,L2/3_Pvalb
574067499,Aspiny_8,Inh_10,ME_Inh_14,L4_Pvalb
574377552,Aspiny_3,Inh_13,ME_Inh_11,L5_Pvalb
574734127,Aspiny_18,Inh_3,ME_Inh_18,L1_Lamp5
574992320,Aspiny_7,Inh_13,ME_Inh_16,L2/3_Pvalb
574993444,Aspiny_19,Inh_1,ME_Inh_19,L6b_Lamp5
575642695,Aspiny_2,Inh_5,ME_Inh_24,L5_Sst
575774870,Aspiny_15,Inh_2,ME_Inh_5,L4_Vip
577218602,Aspiny_16,Inh_2,ME_Inh_4,L4_Vip
577369606,Aspiny_14,Inh_2,ME_Inh_4,L2/3_Vip
578485753,Aspiny_19,Inh_1,ME_Inh_19,L6a_Lamp5
578774163,Aspiny_16,Inh_2,ME_Inh_4,L4_Vip
579626068,Aspiny_8,Inh_1,ME_Inh_20,L2/3_Lamp5
579662957,Aspiny_19,Inh_13,ME_Inh_11,L6b_Pvalb
580014328,Aspiny_8,Inh_2,ME_Inh_25,L5_Sst
580145037,Aspiny_5,Inh_11,ME_Inh_21,L2/3_Pvalb
580161872,Aspiny_8,Inh_13,ME_Inh_14,L5_Pvalb
580162374,Aspiny_19,Inh_12,ME_Inh_9,L6a_Pvalb
582613001,Aspiny_15,Inh_2,ME_Inh_5,L2/3_Vip
582644266,Aspiny_14,Inh_3,ME_Inh_3,L2/3_Vip
582917630,Aspiny_19,Inh_3,ME_Inh_19,L6a_Lamp5
583104750,Aspiny_4,Inh_6,ME_Inh_23,L6a_Sst
583138230,Aspiny_13,Inh_3,ME_Inh_3,L2/3_Vip
583138568,Aspiny_14,Inh_3,ME_Inh_5,L2/3_Vip
583146274,Aspiny_14,Inh_3,ME_Inh_5,L2/3_Vip
583434059,Aspiny_4,Inh_11,ME_Inh_6,L5_Pvalb
584231995,Aspiny_11,Inh_6,ME_Inh_24,L5_Sst
584872371,Aspiny_16,Inh_3,ME_Inh_3,L5_Vip
585805211,Aspiny_5,Inh_11,ME_Inh_21,L2/3_Pvalb
585832440,Aspiny_5,Inh_11,ME_Inh_21,L2/3_Pvalb
585841870,Aspiny_5,Inh_11,ME_Inh_21,L2/3_Pvalb
585925172,Aspiny_14,Inh_3,ME_Inh_5,L2/3_Vip
585944237,Aspiny_15,Inh_3,ME_Inh_5,L4_Vip
585946742,Aspiny_16,Inh_3,ME_Inh_5,L2/3_Vip
585947309,Aspiny_6,Inh_13,ME_Inh_21,L2/3_Pvalb
585951863,Aspiny_17,Inh_13,ME_Inh_21,L2/3_Pvalb
585952606,Aspiny_6,Inh_8,ME_Inh_21,L2/3_Pvalb
586071425,Aspiny_15,Inh_3,ME_Inh_5,L2/3_Vip
586072188,Aspiny_14,Inh_3,ME_Inh_3,L2/3_Vip
586072464,Aspiny_14,Inh_2,ME_Inh_5,L2/3_Vip
586072783,Aspiny_14,Inh_3,ME_Inh_5,L2/3_Vip
586073683,Aspiny_17,Inh_2,ME_Inh_21,L2/3_Pvalb
586073850,Aspiny_5,Inh_11,ME_Inh_21,L2/3_Pvalb
586379590,Aspiny_4,Inh_8,ME_Inh_9,L6a_Pvalb
586559181,Aspiny_17,Inh_1,ME_Inh_20,L2/3_Lamp5
586566174,Aspiny_12,Inh_4,ME_Inh_23,L6a_Sst
587045566,Aspiny_14,Inh_3,ME_Inh_3,L2/3_Vip
590558808,Aspiny_19,Inh_11,ME_Inh_6,L6b_Pvalb
591265629,Aspiny_11,Inh_6,ME_Inh_24,L6a_Sst
591268268,Aspiny_8,Inh_9,ME_Inh_8,L5_Pvalb
591278744,Aspiny_4,Inh_9,ME_Inh_7,L6a_Pvalb
592952680,Aspiny_4,Inh_4,ME_Inh_23,L5_Sst
593312584,Aspiny_17,Inh_3,ME_Inh_3,L1_Vip
593321019,Aspiny_18,Inh_3,ME_Inh_18,L1_Lamp5
594091004,Aspiny_18,Inh_3,ME_Inh_18,L1_Lamp5
609435731,Aspiny_5,Inh_8,ME_Inh_21,L2/3_Pvalb
614767057,Aspiny_5,Inh_11,ME_Inh_21,L2/3_Pvalb
614777438,Aspiny_7,Inh_12,ME_Inh_16,L2/3_Pvalb
623185845,Aspiny_3,Inh_4,ME_Inh_22,L5_Sst